frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group,selected,reject_reason,reject_detail,t_str,cluster_size,in_anomaly,iei_prev,iei_prev2,density_1s,density_3s,density_10s,density_60s,recent_cv_5s,burst_score,n_same_group_3s,grp_biwa,grp_kakko,grp_koto,grp_shoko,grp_taiko,cluster,cluster_label,sml
169949,2026-05-04T16:17:33.119305,1777925853.1193054,11601.602927207949,66219,,331,178,327,175,8,6,0.0827648369777733,50.52754015165618,biwa,0,global_suppression,suppress_until=1777925854.115,193:21.603,8,False,-0.4413198634657083,-0.0007543563806393,0.1120802060731674,0.2500836176800389,2.5166363109612706,2.1948358539908317,1.986198196872836,-0.6268376815368976,0.6029811227681134,True,False,False,False,False,0,baseline,M
169957,2026-05-04T16:17:33.664669,1777925853.6646686,11602.148290395737,66227,,331,178,327,175,8,7,0.1514179906260244,50.52754015165618,biwa,0,global_suppression,suppress_until=1777925854.467,193:22.148,8,False,-0.4410137114506391,0.002192735668359,0.1120802060731674,0.6793672798760292,2.2527835641011023,2.309751795591527,-0.6309960453041342,-0.5976812173754449,1.1183536899387982,True,False,False,False,False,0,baseline,M
169969,2026-05-04T16:17:34.478855,1777925854.4788551,11602.962476968763,66239,4161.0,330,178,327,175,6,6,-0.0545414703187288,49.96974072811031,biwa,1,,,193:22.962,8,False,-0.403480313204727,0.2688233852386474,0.1120802060731674,1.1086509420720194,1.988930817240934,2.4246677371922223,-0.6288517367729284,-0.5636653465699222,1.633726257109483,True,False,False,False,False,0,baseline,L
169974,2026-05-04T16:17:34.831104,1777925854.8311038,11603.314725637436,66243,4165.0,329,178,327,175,5,6,-0.191847777615231,49.39870535499551,biwa,1,,,193:23.315,3,False,-0.4679765597407904,-0.4619379043542722,0.1120802060731674,1.1086509420720194,2.2527835641011023,2.539583678792918,-0.0882208680283682,-0.5976812173754449,1.633726257109483,True,False,False,False,False,0,baseline,M
170354,2026-05-04T16:18:00.720041,1777925880.7200408,11629.203662633896,66246,4167.0,169,216,167,213,5,6,-0.2376165467140651,272.06381972845696,koto,1,,,193:49.204,1,False,3.0974821968986137,25.536688327787488,-0.8968756364894584,-1.037767368907932,-1.1773021450810846,1.5053402043866595,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,False,False,True,False,False,1,after_silence,L
170371,2026-05-04T16:18:01.888287,1777925881.8882873,11630.37190914154,66247,4168.0,170,215,167,213,7,5,-0.1460790085163969,272.6025622024998,koto,1,,,193:50.372,1,False,-0.3540461000422888,-24.720690488815308,-0.8968756364894584,-0.6084837067119415,-0.9134493982209164,1.3904242627859642,-0.633222859440811,-1.0058720072004246,-0.4277640115732564,False,False,True,False,False,2,isolated_burst,L
170389,2026-05-04T16:18:03.104206,1777925883.104206,11631.587827920914,66248,,168,215,165,213,6,5,-0.2376165467140651,272.5561500785783,koto,0,global_suppression,suppress_until=1777925883.220,193:51.588,1,False,-0.3473900483059963,0.0476722717285156,-0.8968756364894584,-0.1792000445159513,-0.6495966513607481,1.5053402043866595,-0.633222859440811,-1.0058720072004246,0.0876085555974285,False,False,True,False,False,0,baseline,L
170402,2026-05-04T16:18:04.000125,1777925884.0001252,11632.483747005464,66249,,311,254,308,252,6,4,-0.2376165467140651,137.6425452940647,biwa,0,global_suppression,suppress_until=1777925884.388,193:52.484,1,False,-0.3920687356667593,-0.3199996948223997,0.1120802060731674,-0.1792000445159513,-0.3857439045005799,1.620256145987355,-0.5728801691439689,0.7629502132697186,-0.9431365787439412,True,False,False,False,False,0,baseline,L
170458,2026-05-04T16:18:07.806938,1777925887.8069384,11636.290560245514,66250,4169.0,409,274,406,272,6,5,-0.2376165467140651,112.71441235316723,biwa,1,,,193:56.291,2,False,0.0143533079104334,2.910894155498682,-0.8968756364894584,-1.037767368907932,-0.1218911576404117,1.1605923795845736,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,True,False,False,False,False,0,baseline,L
170520,2026-05-04T16:18:12.032130,1777925892.0321298,11640.515751600266,66252,4171.0,260,269,258,265,5,8,-0.1460790085163969,202.2034785320574,shoko,1,,,194:00.516,1,False,0.0727676916983198,0.4183781147021363,-0.8968756364894584,-1.037767368907932,-0.3857439045005799,1.1605923795845736,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,False,False,False,True,False,0,baseline,L
